Index,Date,total,food_products,health,total_affected
1,Jan07,67.34,137.82,5505.52,3500.00
2,Fev07,68.27,141.21,5448.97,447770.00
3,Mar07,68.55,141.86,5433.79,0.00
4,Abr07,68.97,142.90,5425.52,0.00
5,Mai07,69.29,142.74,5407.59,0.00
6,Jun07,69.06,141.42,5467.59,0.00
7,Jul07,69.21,140.80,5612.41,0.00
8,Ago07,69.68,142.50,5604.14,520000.00
9,Set07,69.89,142.92,5609.66,0.00
10,Out07,70.81,145.62,5626.90,0.00
11,Nov07,72.16,149.24,5675.17,0.00
12,Dez07,74.47,157.10,5733.79,0.00
13,Jan08,76.31,161.60,5766.21,113535.00
14,Fev08,78.29,167.34,5771.72,0.00
15,Mar08,78.79,168.38,5874.48,220013.00
16,Abr08,79.14,169.26,5930.34,0.00
17,Mai08,78.97,168.17,5942.07,0.00
18,Jun08,79.08,168.45,5984.83,0.00
19,Jul08,79.81,170.50,6022.76,0.00
20,Ago08,80.34,172.28,6053.10,0.00
21,Set08,80.99,174.35,6099.31,3023.00
22,Out08,81.64,176.52,6100.69,7547.00
23,Nov08,82.56,179.57,6131.72,0.00
24,Dez08,83.27,183.46,6139.31,0.00
25,Jan09,84.21,187.68,6142.76,503500.00
26,Fev09,84.04,188.28,6178.62,0.00
27,Mar09,83.93,188.31,6162.07,14028.00
28,Abr09,83.35,186.83,6164.83,0.00
29,Mai09,82.00,181.37,6326.21,0.00
30,Jun09,81.57,179.64,6378.62,0.00
31,Jul09,81.76,179.57,6444.83,0.00
32,Ago09,81.52,178.55,6464.14,0.00
33,Set09,82.06,179.27,6462.07,0.00
34,Out09,82.51,180.33,6473.10,0.00
35,Nov09,83.43,183.49,6497.93,0.00
36,Dez09,85.15,189.62,6500.00,0.00
37,Jan10,87.45,197.39,6518.62,0.00
38,Fev10,89.35,204.06,6554.48,0.00
39,Mar10,90.40,205.72,6608.28,477000.00
40,Abr10,91.38,207.68,6652.41,0.00
41,Mai10,92.65,210.47,6676.55,0.00
42,Jun10,93.86,213.19,6696.55,0.00
43,Jul10,94.05,213.65,6760.00,0.00
44,Ago10,93.96,212.20,6824.14,0.00
45,Set10,94.61,212.68,6840.69,0.00
46,Out10,95.11,213.49,6918.62,0.00
47,Nov10,96.41,217.92,6922.07,0.00
48,Dez10,100.00,230.63,6896.55,0.00
49,Jan11,101.62,234.44,7348.65,1.00
50,Fev11,102.96,238.87,7365.71,30000.00
51,Mar11,102.86,237.41,7269.30,33946.00
52,Abr11,103.05,237.27,7265.59,0.00
53,Mai11,103.60,237.09,7293.77,0.00
54,Jun11,103.25,234.97,7307.12,0.00
55,Jul11,103.68,235.15,7313.79,0.00
56,Ago11,104.14,236.38,7344.20,0.00
57,Set11,104.06,235.38,7318.99,0.00
58,Out11,104.15,235.58,7322.69,0.00
59,Nov11,104.70,237.59,7313.05,0.00
60,Dez11,106.14,244.77,7332.34,0.00
61,Jan12,106.82,248.68,6367.79,105000.00
62,Fev12,106.56,248.51,6356.23,0.00
63,Mar12,106.78,249.90,6385.12,4958.00
64,Abr12,106.52,248.49,6356.87,0.00
65,Mai12,105.96,245.75,6369.07,0.00
